order_detail_id,order_id,product_id,quantity,discount,customer_id,order_date,region,payment_method,product_name,category,subcategory,price,cost,customer_name,email,city,state,country,gross_sales,discount_amount,revenue,cost_amount,profit
1,1,45,1,5.0,337,2026-05-30,East,UPI,Pro Pen Pack,Office Supplies,Stationery,40.0,30.0,Rahul Gupta,customer337@example.com,Gaya,Bihar,India,40.0,2.0,38.0,30.0,8.0
2,2,36,3,15.0,910,2024-07-06,North,Credit Card,Pro Office Desk,Furniture,Office Furniture,29870.0,15610.0,Aditya Patel,customer910@example.com,Lucknow,Uttar Pradesh,India,89610.0,13441.5,76168.5,46830.0,29338.5
3,2,44,2,5.0,910,2024-07-06,North,Credit Card,Standard Pen Pack,Office Supplies,Stationery,130.0,80.0,Aditya Patel,customer910@example.com,Lucknow,Uttar Pradesh,India,260.0,13.0,247.0,160.0,87.0
4,3,20,1,5.0,561,2025-08-13,West,UPI,Standard Keyboard,Accessories,Computer Accessories,5930.0,3350.0,Isha Kumar,customer561@example.com,Mumbai,Maharashtra,India,5930.0,296.5,5633.5,3350.0,2283.5
5,4,45,1,10.0,871,2025-06-23,South,Net Banking,Pro Pen Pack,Office Supplies,Stationery,40.0,30.0,Meera Chowdhury,customer871@example.com,Hyderabad,Telangana,India,40.0,4.0,36.0,30.0,6.0
6,5,23,2,10.0,614,2024-01-17,South,Cash on Delivery,Standard Mouse,Accessories,Computer Accessories,2320.0,1120.0,Aarav Sharma,customer614@example.com,Mangaluru,Karnataka,India,4640.0,464.0,4176.0,2240.0,1936.0
7,6,45,1,5.0,471,2026-07-28,North,UPI,Pro Pen Pack,Office Supplies,Stationery,40.0,30.0,Kavya Nair,customer471@example.com,New Delhi,Delhi,India,40.0,2.0,38.0,30.0,8.0
8,6,23,3,5.0,471,2026-07-28,North,UPI,Standard Mouse,Accessories,Computer Accessories,2320.0,1120.0,Kavya Nair,customer471@example.com,New Delhi,Delhi,India,6960.0,348.0,6612.0,3360.0,3252.0
9,6,40,2,5.0,471,2026-07-28,North,UPI,Basic Notebook,Office Supplies,Stationery,380.0,190.0,Kavya Nair,customer471@example.com,New Delhi,Delhi,India,760.0,38.0,722.0,380.0,342.0
10,7,22,1,5.0,734,2024-01-03,South,UPI,Basic Mouse,Accessories,Computer Accessories,1940.0,1550.0,Pooja Rao,customer734@example.com,Kochi,Kerala,India,1940.0,97.0,1843.0,1550.0,293.0
11,8,11,2,0.0,512,2024-06-04,South,UPI,Standard Headphones,Electronics,Audio,10860.0,7010.0,Vivaan Naidu,customer512@example.com,Hyderabad,Telangana,India,21720.0,0.0,21720.0,14020.0,7700.0
12,8,28,1,10.0,512,2024-06-04,South,UPI,Basic USB Drive,Accessories,Storage,1170.0,630.0,Vivaan Naidu,customer512@example.com,Hyderabad,Telangana,India,1170.0,117.0,1053.0,630.0,423.0
13,9,56,1,10.0,824,2026-08-04,North,Credit Card,Standard Desk Lamp,Furniture,Office Accessories,4550.0,2480.0,Anjali Mishra,customer824@example.com,Noida,Uttar Pradesh,India,4550.0,455.0,4095.0,2480.0,1615.0
14,10,18,1,0.0,988,2026-04-23,West,UPI,Pro Tablet,Electronics,Mobiles,22530.0,11300.0,Divya Naidu,customer988@example.com,Jodhpur,Rajasthan,India,22530.0,0.0,22530.0,11300.0,11230.0
15,10,3,1,0.0,988,2026-04-23,West,UPI,Pro Laptop,Electronics,Computers,51630.0,38010.0,Divya Naidu,customer988@example.com,Jodhpur,Rajasthan,India,51630.0,0.0,51630.0,38010.0,13620.0
16,11,20,2,10.0,340,2024-11-03,North,UPI,Standard Keyboard,Accessories,Computer Accessories,5930.0,3350.0,Pooja Gupta,customer340@example.com,New Delhi,Delhi,India,11860.0,1186.0,10674.0,6700.0,3974.0
17,12,32,2,5.0,784,2025-08-17,West,Debit Card,Standard Office Chair,Furniture,Office Furniture,18550.0,9870.0,Kavya Kumar,customer784@example.com,Ahmedabad,Gujarat,India,37100.0,1855.0,35245.0,19740.0,15505.0
18,13,5,1,15.0,803,2024-07-26,South,Debit Card,Standard Smartphone,Electronics,Mobiles,71640.0,39970.0,Aditya Das,customer803@example.com,Thiruvananthapuram,Kerala,India,71640.0,10746.0,60894.0,39970.0,20924.0
19,14,56,2,5.0,618,2026-07-16,North,Debit Card,Standard Desk Lamp,Furniture,Office Accessories,4550.0,2480.0,Sanjay Sharma,customer618@example.com,New Delhi,Delhi,India,9100.0,455.0,8645.0,4960.0,3685.0
20,14,40,1,5.0,618,2026-07-16,North,Debit Card,Basic Notebook,Office Supplies,Stationery,380.0,190.0,Sanjay Sharma,customer618@example.com,New Delhi,Delhi,India,380.0,19.0,361.0,190.0,171.0
21,14,53,3,10.0,618,2026-07-16,North,Debit Card,Standard Backpack,Accessories,Bags,3160.0,1910.0,Sanjay Sharma,customer618@example.com,New Delhi,Delhi,India,9480.0,948.0,8532.0,5730.0,2802.0
22,14,44,3,5.0,618,2026-07-16,North,Debit Card,Standard Pen Pack,Office Supplies,Stationery,130.0,80.0,Sanjay Sharma,customer618@example.com,New Delhi,Delhi,India,390.0,19.5,370.5,240.0,130.5
23,15,6,1,15.0,445,2025-07-23,East,UPI,Pro Smartphone,Electronics,Mobiles,44590.0,25980.0,Meera Mishra,customer445@example.com,Bhubaneswar,Odisha,India,44590.0,6688.5,37901.5,25980.0,11921.5
24,15,51,4,5.0,445,2025-07-23,East,UPI,Pro Calculator,Office Supplies,Stationery,1360.0,760.0,Meera Mishra,customer445@example.com,Bhubaneswar,Odisha,India,5440.0,272.0,5168.0,3040.0,2128.0
25,16,54,4,10.0,177,2024-12-27,South,UPI,Pro Backpack,Accessories,Bags,3340.0,2580.0,Ananya Iyer,customer177@example.com,Nizamabad,Telangana,India,13360.0,1336.0,12024.0,10320.0,1704.0
26,17,8,1,0.0,509,2024-05-16,North,Credit Card,Standard Monitor,Electronics,Computers,37290.0,24560.0,Rohit Mishra,customer509@example.com,Amritsar,Punjab,India,37290.0,0.0,37290.0,24560.0,12730.0
27,18,25,2,10.0,648,2025-06-17,East,Credit Card,Basic Webcam,Accessories,Computer Accessories,1440.0,1140.0,Ananya Rao,customer648@example.com,Gaya,Bihar,India,2880.0,288.0,2592.0,2280.0,312.0
28,19,33,1,0.0,576,2026-05-07,South,Cash on Delivery,Pro Office Chair,Furniture,Office Furniture,21610.0,13690.0,Vivaan Rao,customer576@example.com,Kochi,Kerala,India,21610.0,0.0,21610.0,13690.0,7920.0
